Sample	aligner	var_caller	cpu_time	wall_time	compute_efficiency	num_task_threads	cost_per_task	per_vcpu_seconds	theoretical_min_cost_per_task	Fscore(all)	Fscore(SNPts)	Fscore(SNPtv)	Fscore(SNPall)	Fscore(INS50)	Fscore(Del50)	Fscore(Indel50)	YieldBases	WgsCoverageMedian	WgsCoverageMean	cost_per_vcpu_sec	cost_per_vcpu_sec_gb
RIH0_ANA0-HG003-19	bwa2a	alNsort	519116.16000000003	2951.8064	0.916	192.0	2.663841	2703.73	2.908123362445415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109250541520.0	31.0	30.506662	5.131493113217666e-06	4.6969955863131965e-08
RIH0_ANA0-HG003-19	bwa2a	alignstats	27965.76	726.9886	1.2021	32.0	0.109361	873.93	0.09097496048581649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109250541520.0	31.0	30.506662	3.9105320220154935e-06	3.5794166029827964e-08
RIH0_ANA0-HG003-19	bwa2a	deep	20638.78	123189.8962	0.01960749792381139	1536.0	36.49125600000001	13.436705729166667	1861.0868220817172	0.9967592602320073	0.9968483312398067	0.9963425290460012	0.9965954301429039	0.9964789431972962	0.9978536010767249	0.9982393259133497	109250541520.0	31.0	30.506662	0.0017680917185996462	1.6183825672625795e-05
RIH0_ANA0-HG003-19	bwa2a	dysgu	68469.76	1679.8636	0.6392	64.0	0.615608	1069.84	0.9630913642052567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109250541520.0	31.0	30.506662	8.99094724444777e-06	8.229659202926549e-08
RIH0_ANA0-HG003-19	bwa2a	goleft	0.0	6.0058	0.0	16.0	0.000395	0.0	0.000395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109250541520.0	31.0	30.506662	0.0	0.0
RIH0_ANA0-HG003-19	bwa2a	manta	188.16	441.108	0.0033000000000000004	128.0	0.265424	1.47	80.43151515151514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109250541520.0	31.0	30.506662	0.0014106292517006803	1.2911874230320798e-05
RIH0_ANA0-HG003-19	bwa2a	mosdepth	8509.28	655.5287	0.8113	16.0	0.042943	531.83	0.05293109823739677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109250541520.0	31.0	30.506662	5.046607938627005e-06	4.6192978711260165e-08
RIH0_ANA0-HG003-19	bwa2a	mrkdup	47829.439999999995	1175.6006	0.31150500177296664	192.0	0.718136	249.11166666666665	2.305375502520493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109250541520.0	31.0	30.506662	1.5014518254865625e-05	1.3743198016201124e-07
RIH0_ANA0-HG003-19	bwa2a	norm_cov_eveness	181.92	2433.5737	0.0047	16.0	0.159422	11.37	33.91957446808511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109250541520.0	31.0	30.506662	0.0008763302550571681	8.021289806574939e-06
RIH0_ANA0-HG003-19	bwa2a	qmap	216876.16	2718.9413	2.4927	32.0	0.356232	6777.38	0.1429100974846552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109250541520.0	31.0	30.506662	1.6425595141485351e-06	1.5034795171681958e-08
